Car,Model,Volume,Weight,CO2
Toyoty,Aygo,1000,790.0,99
Mitsubishi,Space Star,1200,1160.0,95
Skoda,Citigo,1000,929.0,95
Fiat,500,900,865.0,90
Mini,Cooper,1500,1140.0,105
VW,Up!,1000,929.0,105
Skoda,Fabia,1400,1109.0,90
Mercedes,A-Class,1500,1365.0,92
Ford,Fiesta,1500,1112.0,98
Audi,A1,1600,1150.0,99
Hyundai,I20,1100,980.0,99
Suzuki,Swift,1300,990.0,101
Ford,Fiesta,1000,1112.0,99
Honda,Civic,1600,,94
Hundai,I30,1600,1326.0,97
Opel,Astra,1600,1330.0,97
BMW,1,1600,1365.0,99
Mazda,3,2200,1280.0,104
Skoda,Rapid,1600,1119.0,104
Ford,Focus,2000,1328.0,105
Ford,Mondeo,1600,1584.0,94
Opel,Insignia,2000,1428.0,99
Mercedes,C-Class,2100,1365.0,99
Skoda,Octavia,1600,1415.0,99
Volvo,S60,2000,1415.0,99
Mercedes,CLA,1500,1465.0,102
Audi,A4,2000,1490.0,104
Audi,A6,2000,1725.0,114
Volvo,V70,1600,1523.0,109
BMW,5,2000,1705.0,114
Mercedes,E-Class,2100,1605.0,115
Volvo,XC70,2000,,117
Ford,B-Max,1600,1235.0,104
BMW,216,1600,1390.0,108
Opel,Zafira,1600,1405.0,109
Mercedes,SLK,2500,1395.0,120
Audi,A6,2000,1725.0,114
